NAME,POSITION,RANKING
Christian McCaffrey,RB,1.3
Saquon Barkley,RB,2.5
Ezekiel Elliott,RB,3.7
Alvin Kamara,RB,4.5
Clyde Edwards-Helaire,RB,5.6
Dalvin Cook,RB,6.1
Derrick Henry,RB,6.6
Michael Thomas,WR,7.3
Josh Jacobs,RB,9.1
Davante Adams,WR,10.3
Joe Mixon,RB,11.4
Nick Chubb,RB,12.3
Kenyan Drake,RB,13.2
Tyreek Hill,WR,13.6
Miles Sanders,RB,14.2
Austin Ekeler,RB,15.2
Julio Jones,WR,16.4
Aaron Jones,RB,17.4
Pat Mahomes,QB,18.3
DeAndre Hopkins,WR,18.9
Travis Kelce,TE,19.9
Lamar Jackson,QB,21.4
Chris Godwin,WR,22
James Conner,RB,23.5
Chris Carson,RB,24.3
George Kittle,TE,24.7
Kenny Golladay,WR,26.2
Mike Evans,WR,27.6
Leonard Fournette,RB,27.9
David Johnson,RB,29.3
Adam Thielen,WR,30.2
Todd Gurley,RB,31.1
LeVeon Bell,RB,33
Allen Robinson,WR,33.3
Jonathan Taylor,RB,33.3
Odell Beckham Jr,WR,34.7
Amari Cooper,WR,35.6
D.J. Moore,WR,36.6
Melvin Gordon,RB,38.7
Cooper Kupp,WR,38.8
JuJu Smith-Schuster,WR,40.8
Mark Ingram,RB,40.9
Calvin Ridley,WR,42.4
Devin Singletary,RB,42.5
Mark Andrews,TE,43.1
A.J. Brown,WR,43.7
Robert Woods,WR,44
D.K. Metcalf,WR,46.5
Raheem Mostert,RB,48.3
D.J. Chark,WR,48.7
Keenan Allen,WR,49.7
Terry McLaurin,WR,51.3
Tyler Lockett,WR,51.6
Zach Ertz,TE,51.9
Cam Akers,RB,52.2
Dak Prescott,QB,53
David Montgomery,RB,53.2
Kareem Hunt,RB,56.7
Ronald Jones II,RB,57.1
Courtland Sutton,WR,57.6
T.Y. Hilton,WR,59.8
Marquise Brown,WR,59.9
Russell Wilson,QB,60.3
Kyler Murray,QB,60.3
D'Andre Swift,RB,62.7
Stefon Diggs,WR,62.7
Darren Waller,TE,64.4
Deshaun Watson,QB,66.9
DeVante Parker,WR,67.5
J.K. Dobbins,RB,69.6
Marlon Mack,RB,69.7
Michael Gallup,WR,69.7
A.J. Green,WR,71.2
Evan Engram,TE,71.9
Rob Gronkowski,TE,73.9
Will Fuller,WR,73.9
Phillip Lindsay,RB,76.1
Jordan Howard,RB,76.1
Tyler Boyd,WR,76.7
Brandin Cooks,WR,79.8
Kerryon Johnson,RB,81.2
Matt Ryan,QB,81.4
Julian Edelman,WR,81.6
Antonio Gibson,RB,81.6
Hayden Hurst,TE,81.7
James White,RB,84.3
